,,,,,,,,
,,,,,,,,
,Sassy Sentiments,,,,,,,INVOICE
,900 S. Gay St. Ste. 3200,,,,,,,
,Knoxville, TN 37917,,,(865) 555-5556,,,,
,,,,,,,,
,SOLD TO:,,,,,,,
,Blink! Urban Fashions,,,,,,INVOICE NUMBER  ,536525
,9000 Kingston Pike Ste. 1001,,,,,,INVOICE DATE  ,October 15, 2012
,Knoxville, TN 37920,,,,,,OUR ORDER NO.  ,726280
,,,,,,,YOUR ORDER NO.  ,1892901
,,,,,,,,
,SHIPPED TO:,,,,,,SALES REP  ,Boone Radley
, Same,,,,,,SHIPPED VIA  ,Ground
,,,,,,,F.O.B.  ,Knoxville, TN
,,,,,,,            PREPAID or COD,COD
,,,,,,,,
,Sales Tax Rate:     ,,9.25%,,,,,
,,,,,,,,
,QUANTITY,DESCRIPTION,,,,,UNIT PRICE,AMOUNT
,100 ,Blank cards,,,,,2.00 ,$200.00 
,75 ,Standard ,,,,,2.25 ,168.75 
,100 ,Deluxe artwork,,,,,3.00 ,300.00 
,50 ,Hand styled,,,,,3.25 ,162.50 
,20 ,Experimental ,,,,,4.00 ,80.00 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,, SUBTOTAL,911.25 
,,,,,,, TAX,84.29 
,,,,,,, FREIGHT,
,,,,,,,,$995.54 
,DIRECT ALL INQUIRIES TO:,,,,MAKE ALL CHECKS PAYABLE TO:,,,PAY THIS
,Boone Radley,,,,Sassy Sentiments,,,AMOUNT
,(865) 555-9559,,,,Attn: Accounts Receivable,,,
,email: booneradley@utk.edu,,,,900 S. Gay St. Ste. 3200,,,
,,,,,Knoxville, TN 37917,,,
,THANK YOU FOR YOUR BUSINESS!,,,,,,,
